"Following directories not found or not writable, please change permissions to: ","Following directories not found or not writable, please change permissions to: "
"Revolution Slider","Revolution Slider"
"All Sliders","All Sliders"
"Slider Settings","Slider Settings"
"Slide Editor","Slide Editor"
"Order Products","Order Products"
"Navigation Editor","Navigation Editor"
Error,Error
"Revolution Slider - ","Revolution Slider - "
"Css generation error: %s","Css generation error: %s"
"Problem with Slider Revolution upgrade. Database was not updated.","Problem with Slider Revolution upgrade. Database was not updated."
"Problem with Slider Revolution installation. Database was not created.","Problem with Slider Revolution installation. Database was not created."
"Next >","Next >"
"< Prev","< Prev"
Image,Image
of,of
Close,Close
"This feature requires inline frames. You have iframes disabled or your browser does not support them.","This feature requires inline frames. You have iframes disabled or your browser does not support them."
"Please Wait...","Please Wait..."
Clear,Clear
Default,Default
"Select Color","Select Color"
"Current Color","Current Color"
"Select the Navigation Category to Edit","Select the Navigation Category to Edit"
"Add New","Add New"
#ID,#ID
"Skin Name","Skin Name"
Arrows,Arrows
Bullets,Bullets
Thumbs,Thumbs
Tabs,Tabs
Actions,Actions
Editing,Editing
Remove,Remove
Markup,Markup
"Reset Defaults","Reset Defaults"
Parameters,Parameters
"Slide Title","Slide Title"
"Slide Description","Slide Description"
"Parameter ","Parameter "
CSS,CSS
"Style Helper","Style Helper"
"Color Value","Color Value"
Add,Add
"Border Radius","Border Radius"
"Top Left","Top Left"
"Top Right","Top Right"
"Bottom Right","Bottom Right"
"Bottom Left","Bottom Left"
Border,Border
Top,Top
Right,Right
Bottom,Bottom
Left,Left
Opacity,Opacity
Text-Shadow,Text-Shadow
Angle,Angle
Distance,Distance
Blur,Blur
Box-Shadow,Box-Shadow
"Font Family","Font Family"
Resets,Resets
"Classes & Style","Classes & Style"
"Only Classes","Only Classes"
"Live Preview - Hover & Click for test","Live Preview - Hover & Click for test"
"Suggested Width:","Suggested Width:"
"Suggested Height:","Suggested Height:"
"Save All Changes","Save All Changes"
View,View
Edit,Edit
"Custom Navigations","Custom Navigations"
"Default Navigations","Default Navigations"
Help,Help
"Slide Editor ","Slide Editor "
"Save Slide","Save Slide"
"CSS Global","CSS Global"
Preview,Preview
"<b>Warning!!! </b>The jquery ui javascript include that is loaded by some of the plugins are custom made and not contain needed components like 'autocomplete' or 'draggable' function.
		Without those functions the editor may not work correctly. Please remove those custom jquery ui includes in order the editor will work correctly.","<b>Warning!!! </b>The jquery ui javascript include that is loaded by some of the plugins are custom made and not contain needed components like 'autocomplete' or 'draggable' function.
		Without those functions the editor may not work correctly. Please remove those custom jquery ui includes in order the editor will work correctly."
"Insert Meta","Insert Meta"
Product,Product
WooCommerce,WooCommerce
Events,Events
Flickr,Flickr
Instagram,Instagram
Twitter,Twitter
Facebook,Facebook
YouTube,YouTube
Vimeo,Vimeo
Images,Images
"Any custom product attribute","Any custom product attribute"
"Product Name","Product Name"
"Product Price","Product Price"
"Short Description","Short Description"
Description,Description
"Link to view product","Link to view product"
"Add to cart link","Add to cart link"
"Add to wishlist link","Add to wishlist link"
"Product Image URL","Product Image URL"
"Product Image &lt;img /&gt;","Product Image &lt;img /&gt;"
SKU,SKU
"Full Price","Full Price"
"Single Price","Single Price"
"Single Price without currency","Single Price without currency"
"In Stock","In Stock"
"Stock Quantity","Stock Quantity"
"Number of Ratings","Number of Ratings"
"Number of Reviews","Number of Reviews"
"Text Rating","Text Rating"
"Star Rating","Star Rating"
Categories,Categories
Tags,Tags
"Add to Cart URL","Add to Cart URL"
"Add to Cart Button","Add to Cart Button"
"Event start date","Event start date"
"Event end date","Event end date"
"Event start time","Event start time"
"Event end time","Event end time"
"Event ID","Event ID"
"Event location name","Event location name"
"Event location slug","Event location slug"
"Event location address","Event location address"
"Event location town","Event location town"
"Event location state","Event location state"
"Event location postcode","Event location postcode"
"Event location region","Event location region"
"Event location country","Event location country"
"Post Title","Post Title"
"Post content","Post content"
"The link to the post","The link to the post"
"Date created","Date created"
Username,Username
Views,Views
"Image URL","Image URL"
"Image &lt;img /&gt;","Image &lt;img /&gt;"
Title,Title
Content,Content
Link,Link
"Number of Likes","Number of Likes"
"Number of Comments","Number of Comments"
"Pulbishing Date","Pulbishing Date"
"Retweet Count","Retweet Count"
"Favorite Count","Favorite Count"
"Last Modify Date","Last Modify Date"
Excerpt,Excerpt
"Number of Views","Number of Views"
"Advanced CSS","Advanced CSS"
"Style from Options","Style from Options"
"Editable via Option Fields, Saved in the Class:","Editable via Option Fields, Saved in the Class:"
"Additional Custom Styling","Additional Custom Styling"
"Appended in the Class:","Appended in the Class:"
"Save As","Save As"
"Save As:","Save As:"
"Rename CSS","Rename CSS"
"Rename to:","Rename to:"
"Layer Inline CSS","Layer Inline CSS"
"Advanced Custom Styling","Advanced Custom Styling"
"Appended Inline to the Layer Markup","Appended Inline to the Layer Markup"
"Save Under","Save Under"
"Save Under:","Save Under:"
"Update Static Layers","Update Static Layers"
updating,updating
"Slides Overview","Slides Overview"
"Delete Slide","Delete Slide"
"Rename Animation","Rename Animation"
"Delete this slide?","Delete this slide?"
"Edit Posts","Edit Posts"
"This is a list of posts that are taken from multiple sources.","This is a list of posts that are taken from multiple sources."
"Sort by","Sort by"
"Updating Sorting...","Updating Sorting..."
"Post List","Post List"
"Saving Order","Saving Order"
"No Posts Found","No Posts Found"
"Unpublish Post","Unpublish Post"
"Publish Post","Publish Post"
"Edit Post","Edit Post"
"Click to change the slide image. Note: The post featured image will be changed.","Click to change the slide image. Note: The post featured image will be changed."
"no image","no image"
Delete,Delete
"Warning! Removing this entry will cause the original wordpress post to be deleted.","Warning! Removing this entry will cause the original wordpress post to be deleted."
"Select Slide Image","Select Slide Image"
"Global Settings","Global Settings"
"Revolution Sliders","Revolution Sliders"
"Sort By:","Sort By:"
"By ID","By ID"
"By Name","By Name"
"By Type","By Type"
"By Favorit","By Favorit"
"Filter By:","Filter By:"
All,All
Products,Products
Gallery,Gallery
"No Sliders Found","No Sliders Found"
"Standard Embeding","Standard Embeding"
"For the","For the"
"CMS Block or CMS Page content","CMS Block or CMS Page content"
"insert the shortcode:","insert the shortcode:"
"Or use <b>Revolution Slider Widget</b>. In CMS editor click Insert Widget icon or button. Select <b>NWDthemes Revolution Slider</b> widget. In <b>Widget Options</b> select slider you want to insert and click <b>Insert Widget</b> button.","Or use <b>Revolution Slider Widget</b>. In CMS editor click Insert Widget icon or button. Select <b>NWDthemes Revolution Slider</b> widget. In <b>Widget Options</b> select slider you want to insert and click <b>Insert Widget</b> button."
"To create Revolution Slider","To create Revolution Slider"
"Widget Instance","Widget Instance"
"go to","go to"
"CMS > Widget","CMS > Widget"
